✅ A 載入 | A1 頁面載入無 JS 錯誤 | 
✅ A 載入 | A2 首頁為預設畫面 | 
✅ A 載入 | A3 素材注入（Logo／吉祥物 src 非空） | 
✅ A 載入 | A4 題庫載入 50 題、5 年代各 10 | 
✅ A 載入 | A5 每題 4 選項且 answer 在 0–3 | 
✅ A 載入 | A6 預設反饋模式 = instant（A/B 關閉） | 
✅ A 載入 | A7 音效預設關閉、無障礙名稱一致 | [0, False, '音效關閉', '音效關閉，點一下切換']
✅ A 載入 | A8 點畫面不會自動出聲 | [0, False]
✅ A 載入 | A9 音效鈕三態循環 關閉→音效→音效＋音樂→關閉，並記住選擇 | [1, False] [2, True, 'running'] [0, False] saved=0
✅ A 載入 | A10 重新整理後保留音效設定 | 
✅ B 抽題 | B1 年代 0：抽題數符合計畫 [2, 2, 3, 4, 4] | got=[2, 2, 3, 4, 4] 不重複=15
✅ B 抽題 | B2 年代 1：抽題數符合計畫 [2, 2, 3, 4, 4] | got=[2, 2, 3, 4, 4] 不重複=15
✅ B 抽題 | B3 年代 2：抽題數符合計畫 [3, 2, 2, 4, 4] | got=[3, 2, 2, 4, 4] 不重複=15
✅ B 抽題 | B4 年代 3：抽題數符合計畫 [4, 3, 2, 2, 4] | got=[4, 3, 2, 2, 4] 不重複=15
✅ B 抽題 | B5 年代 4：抽題數符合計畫 [4, 4, 3, 2, 2] | got=[4, 4, 3, 2, 2] 不重複=15
✅ B 抽題 | B6 年代為單選：改點另一個會換過去，且只有一個被勾選 | 
✅ C 作答 | C1 每題 15 秒 | 
✅ C 作答 | C2 進度條／題號初始 | 
✅ C 作答 | C3 15 題逐題：正解亮綠／錯選亮紅／文字回饋／鎖定／下一題鈕 | []
✅ C 作答 | C4 重複點擊不重複計分 | 
✅ C 作答 | C5 15 題後進入結果頁 | 
✅ C 作答 | C6 超時：顯示正解、記錄 timedOut、太空人睡著、文案 | {'right': 1, 'ans': 1, 'to': True, 'mascot': True}
✅ C 作答 | C7 超時後出現下一題鈕，按下進入第 2 題 | 
✅ C 作答 | C8 最後 3 秒倒數環 hot 狀態 | 
✅ C 作答 | C9 鍵盤 A–D 可作答 | 
✅ C 作答 | C10 連對 ≥3 顯示🔥 | 
✅ C 作答 | C11 反饋中按再測，舊計時器不會把新第 1 題跳掉 | idx=0
✅ C 作答 | C11b 作答中按返回先確認：繼續作答不丟進度、離開回首頁 | 
